Denominazione in italiano,lat,long
Grezzana,45.5185311,11.0161587
Casier,45.6283358,12.2651598
Colle Umberto,45.9409837,12.3409719
Dueville,45.6355174,11.5485978
Piove di Sacco,45.297692,12.036814
Cadoneghe,45.4586481,11.9201748
Sandrigo,45.6606078,11.6029276
Codognè,45.8667947,12.4339077
Alano di Piave,45.907803,11.9081948
Cornedo Vicentino,45.6111057,11.3434053
Gorgo al Monticano,45.7869535,12.5504205
Meolo,45.6194293,12.4530566
Musile di Piave,45.6173586,12.5618873
Sona,45.433438,10.8327372
Montegalda,45.4437746,11.6732113
Roverè Veronese,45.5934145,11.065808
Lusiana Conco,45.8080728,11.5879349
Isola Vicentina,45.6286685,11.4431478
Villa del Conte,45.586598,11.859005
Crespadoro,45.620193,11.22589
Badia Calavena,45.5660855,11.1523929
Scorzè,45.5713541,12.108383
Limana,46.102814,12.186303
Pedemonte,45.5032337,10.9187199
Fonzaso,46.0179035,11.7997542
Peschiera del Garda,45.4389454,10.6920171
Campagna Lupia,45.354994,12.096814
Malo,45.660296,11.407493
Caldiero,45.414388,11.177392
Montegrotto Terme,45.331491,11.791208
Ponte San Nicolò,45.3652389,11.9372704
San Martino di Venezze,45.1312032,11.8685228
Sospirolo,46.1427254,12.0749943
Campo San Martino,45.544396,11.810404
Maserà di Padova,45.3207113,11.8709849
Piazzola sul Brenta,45.541496,11.784404
Istrana,45.6786162,12.0997937
Villorba,45.7292486,12.2562455
Valeggio sul Mincio,45.3537509,10.734546
Codevigo,45.2673516,12.1013012
Rossano Veneto,45.7052727,11.7997866
Correzzola,45.2353821,12.0677625
Baone,45.2438632,11.6879458
Grumolo delle Abbadesse,45.5163094,11.6588022
Fontaniva,45.6376293,11.7521976
Arquà Petrarca,45.2700441,11.7165149
Sarcedo,45.7078513,11.5260472
San Pietro in Gu,45.6140864,11.6693937
Belfiore,45.3796233,11.2089761
Ceggia,45.6864366,12.6375286
Malcesine,45.7643442,10.8100598
Altavilla Vicentina,45.5084288,11.4706863
Mestrino,45.4427579,11.7582537
Sant'Angelo di Piove di Sacco,45.3453153,12.0070217
Voltago Agordino,46.272016,12.005196
Valli del Pasubio,45.7407742,11.262167
Santa Lucia di Piave,45.8491855,12.284264
Fara Vicentino,45.7395927,11.5482872
Bussolengo,45.4741307,10.8462482
Solesino,45.1773324,11.7433722
Orgiano,45.3510428,11.4660293
Recoaro Terme,45.7051709,11.2249347
Borgo Veneto,45.229109,11.5385628
Rovolon,45.3780267,11.6444028
Bovolenta,45.2703747,11.9350857
Castello di Godego,45.6923801,11.8810438
Ronco all'Adige,45.3377659,11.2424521
Abano Terme,45.3603142,11.7897833
Brugine,45.296592,11.995113
Vigonovo,45.387011,12.0075139
Ponte nelle Alpi,46.1617797,12.298805400000001
Campolongo Maggiore,45.3305355,12.0483135
Mezzane di Sotto,45.4820063,11.1281533
Susegana,45.8509126,12.2500126
Chioggia,45.218894,12.2785805
Arcole,45.3582108,11.2860916
Buttapietra,45.3420898,10.99859
Pieve di Cadore,46.4287086,12.3752967
Sorgà,45.2134004,10.9793623
Caorle,45.5979147,12.8876282
Roncà,45.4788919,11.2889177
San Pietro in Cariano,45.5209134,10.8863774
Zero Branco,45.601701,12.165212
Giavera del Montello,45.7939742,12.1695666
Zimella,45.3637799,11.3393157
San Vito di Leguzzano,45.6815519,11.37629
Motta di Livenza,45.77663,12.6105482
Castelnuovo del Garda,45.4383996,10.7604791
Colognola ai Colli,45.4346311,11.1867006
Sant'Ambrogio di Valpolicella,45.5221126,10.8344426
Orsago,45.9308608,12.4235873
Costabissara,45.5855421,11.4877438
Noale,45.550156,12.0720437
Galzignano Terme,45.3068076,11.7339679
Cappella Maggiore,45.9695401,12.3616691
San Vendemiano,45.890746300000004,12.3338437
Piombino Dese,45.6075204,11.9994148
