translation,Region,Province,Comune
Ma la voter nona la fa mia la polenta töcc i semane?,Emilia-Romagna,Parma,Parma
ma tua nonna non ti cucina il polenti tutto il dí,Emilia-Romagna,Parma,Parma
.,Emilia-Romagna,Parma,Parma
Ma la vòstra nònna an ve la fà la pulénta tót i simän?,Emilia-Romagna,Parma,Parma
Ma vostra nona non ve la fa la polenter tutter le settimeni,Emilia-Romagna,Parma,Traversetolo
Nonnt nun ve fa a polent tutt e seman?,Emilia-Romagna,Piacenza,Castel San Giovanni
Non so,Emilia-Romagna,Piacenza,Castell'Arquato
Vossa nonna v'la mia la polenta tuut'asmani?,Emilia-Romagna,Piacenza,Castell'Arquato
Ma a nonna vostr nun va fac a polent tutt e semman?,Emilia-Romagna,Piacenza,Fiorenzuola d'Arda
Ma vossa nona av la fa mia la pulëita ogni astmàna?,Emilia-Romagna,Piacenza,Piacenza
Ma vossa nonna av falla mia la puleinta tütt ill smani?,Emilia-Romagna,Piacenza,Piacenza
Ma la vostra nonna al fa mia la pulenta tùtt i sman?,Emilia-Romagna,Piacenza,Piacenza
tu nona fa la pulenta tute le semane,Emilia-Romagna,Piacenza,Piacenza
Ma la to nona la fa mia la puleita Tut il setman?,Emilia-Romagna,Piacenza,Sarmato
Ma vosa nonna av fa mia la puleinta tutt i sman?,Emilia-Romagna,Piacenza,Sarmato
Ma vosa nona av fa mia la puleinta tutt i sman?,Emilia-Romagna,Piacenza,Sarmato
"""Ma vostra nona la fa mia la polenta tuti li smani?""",Emilia-Romagna,Piacenza,Villanova sull'Arda
Mò vöstra nöna la n' u v la fa bríša la pulěñta tòti al stmân? ,Emilia-Romagna,Ravenna,Bagnacavallo
"Ma la tu nona, un la fa la pulente tot al semani?",Emilia-Romagna,Ravenna,Cervia
La tu nona non tla fa ,Emilia-Romagna,Ravenna,Conselice
non saprei come scriverla ,Emilia-Romagna,Ravenna,Faenza
Ma vostra nonna an la feg brisa la polenta toti al smen?,Emilia-Romagna,Ravenna,Lugo
Non lo so,Emilia-Romagna,Ravenna,Ravenna
Tu nona an tla fa la pulenta tot al stman?,Emilia-Romagna,Ravenna,Ravenna
/,Emilia-Romagna,Ravenna,Russi
ma vostra nona an va fa mea la polenta tut al smane?,Emilia-Romagna,Reggio nell'Emilia,Carpineti
Ma tò nona lat fa mia la polenta tutti al smani?,Emilia-Romagna,Reggio nell'Emilia,Poviglio
To nona al fa mia la polenta tot al semani?,Emilia-Romagna,Reggio nell'Emilia,Reggio nell'Emilia
Mo vostra nona av la fala mia la poleinta tot al stmani?,Emilia-Romagna,Reggio nell'Emilia,Reggio nell'Emilia
Non lo so fare,Emilia-Romagna,Reggio nell'Emilia,Reggio nell'Emilia
to nona an la fa mia la polenta tot le setimane,Emilia-Romagna,Reggio nell'Emilia,Reggio nell'Emilia
cc,Emilia-Romagna,Reggio nell'Emilia,Rolo
Vostra nona t' an la fa la polenta tot al sètte?,Emilia-Romagna,Rimini,Coriano
non lo so ,Emilia-Romagna,Rimini,Rimini
ooo al massimo mia nonna fa la pida se parsot ,Emilia-Romagna,Rimini,Rimini
Ma vuestra nona no vi fas la polenta ogni stemana?,Friuli-Venezia Giulia,Gorizia,Capriva del Friuli
Ma vuestre none no fa la pulenta tut le semane? ,Friuli-Venezia Giulia,Gorizia,Cormons
Tua nonna no te fa la polenta duc le settimane?,Friuli-Venezia Giulia,Gorizia,Cormons
ma vostre none non ve la fa la polenta tute le settimane,Friuli-Venezia Giulia,Gorizia,Cormons
To nanna non va fa a polenta tutti i simani?,Friuli-Venezia Giulia,Gorizia,Farra d'Isonzo
Ma la vostra nonna 'un ve la fa la polenta tutte le settimane?,Friuli-Venezia Giulia,Gorizia,Gorizia
Ma vuestre none no faz la polenta ducis lis settimanis?,Friuli-Venezia Giulia,Gorizia,Gorizia
Ma vuestra nona non cusina la polenta dutis le stemane?,Friuli-Venezia Giulia,Gorizia,Gorizia
Ma vostra nona non ve fa la polenta to le setimane,Friuli-Venezia Giulia,Gorizia,Gorizia
ma vuestra nona no vi cusina la polenta ogni seteman?,Friuli-Venezia Giulia,Gorizia,Gorizia
Non la so,Friuli-Venezia Giulia,Gorizia,Gorizia
A Nina non cusina a polenta?,Friuli-Venezia Giulia,Gorizia,Gorizia
Ma to nona no la ve fa la polenta tute le setimane?,Friuli-Venezia Giulia,Gorizia,Gorizia
Ma vostra nona no vea cusina a poenta tute e setimane? ,Friuli-Venezia Giulia,Gorizia,Gorizia
Ma to  nona non ea fa ea polenta tuti i dí?,Friuli-Venezia Giulia,Gorizia,Gorizia
Ma vostra gnena la fa minga la pulenta tut i sendich? ,Friuli-Venezia Giulia,Gorizia,Gorizia
Gyshja jote nuk ka po dokesh me patate krejt jav ,Friuli-Venezia Giulia,Gorizia,Gorizia
Ma vostra nona no ve fa la polenta tute le setimane?,Friuli-Venezia Giulia,Gorizia,Gorizia
Ma uestra nona no vi fas la polenta dutis li stemanis?,Friuli-Venezia Giulia,Gorizia,Gorizia
Ma vostra nona no ve fa la polenta tutte le setimane?,Friuli-Venezia Giulia,Gorizia,Gorizia
Ma vostra nona non Ve fa la polenta tute le settimane?,Friuli-Venezia Giulia,Gorizia,Gorizia
Vostra nonna non ve fa la polenta ogni settimane?,Friuli-Venezia Giulia,Gorizia,Gorizia
Ma vostra nonna nun ve fa a polent tutt e semmane?(napoletano),Friuli-Venezia Giulia,Gorizia,Monfalcone
Ma tu nona non ve fa la polenta tute le stimane?,Friuli-Venezia Giulia,Gorizia,Monfalcone
Ma vostra nona no ve fa la polenta tute le semane?,Friuli-Venezia Giulia,Gorizia,Ronchi dei Legionari
Ma vostre none non vi fas le polente duc le setemanis,Friuli-Venezia Giulia,Gorizia,San Canzian d'Isonzo
ma to nona no ve fa la polenta tutte settimane? ,Friuli-Venezia Giulia,Gorizia,Staranzano
Ma vostra nona non ve ghe fa la polenta tutte le settimane? ,Friuli-Venezia Giulia,Pordenone,Azzano Decimo
Ma vostra nona no ve fa a poenta tute le setimane?,Friuli-Venezia Giulia,Pordenone,Azzano Decimo
To nona non te fa la polenta tute le settimane?,Friuli-Venezia Giulia,Pordenone,Azzano Decimo
Ma to nona non ve la fa la polenta tute le settimane?,Friuli-Venezia Giulia,Pordenone,Azzano Decimo
ma to nona no te a fa a poenta tute e stimane,Friuli-Venezia Giulia,Pordenone,Brugnera
Ma vosta nona non ve fa la poenta dute le matine?,Friuli-Venezia Giulia,Pordenone,Budoia
ma vuestre none a no fa la polente dutis li settimanis?,Friuli-Venezia Giulia,Pordenone,Casarsa della Delizia
Ma vostra nona non ve fa a poenta ogni semana?,Friuli-Venezia Giulia,Pordenone,Casarsa della Delizia
Ma la vostra nona no ve faila la polenta dute le stemane?,Friuli-Venezia Giulia,Pordenone,Claut
Ma vostra nona non ve fa a poenta tute le settimane?,Friuli-Venezia Giulia,Pordenone,Fiume Veneto
Ma vuestra nona no vi fâs la polenta dutas li setemanas,Friuli-Venezia Giulia,Pordenone,Maniago
no,Friuli-Venezia Giulia,Pordenone,Montereale Valcellina
Ma vostra nona non la ve fa a poenta tute e setimane?,Friuli-Venezia Giulia,Pordenone,Pasiano di Pordenone
Ma vostra nona no ve fa la poenta tute le stimane?,Friuli-Venezia Giulia,Pordenone,Porcia
ma vostra nona non ve fala ea polenta tutte le settimane,Friuli-Venezia Giulia,Pordenone,Porcia
Ma vostra nona no ve fala la polenta tute le setimane? ,Friuli-Venezia Giulia,Pordenone,Porcia
ma la nona non ve a fa a poenta tute le setimane? ,Friuli-Venezia Giulia,Pordenone,Porcia
Ma vostra nona no ve fa la polenta tute le setimane?,Friuli-Venezia Giulia,Pordenone,Pordenone
Ma to nona no ve fa a poenta tute e settimane?,Friuli-Venezia Giulia,Pordenone,Pordenone
Ma to nona non ve la fa la polenta tute e settimane?,Friuli-Venezia Giulia,Pordenone,Pordenone
Vostra nona no ve fa la polenta tutte le settimane?,Friuli-Venezia Giulia,Pordenone,Pordenone
ma vostra nonna no ve fa a poenta tutte le semane,Friuli-Venezia Giulia,Pordenone,Pordenone
ma vustra nonna no ve fa a poenta tutte le seman,Friuli-Venezia Giulia,Pordenone,Pordenone
"""Ma ve nona non ve fà la poenta tut le semane?""",Friuli-Venezia Giulia,Pordenone,Pordenone
Ma to none non ve fâs la polente dutis los semanis? ,Friuli-Venezia Giulia,Pordenone,Pordenone
Ma vostra nona non ve fa la polenta tutte le stemane?,Friuli-Venezia Giulia,Pordenone,Roveredo in Piano
ma la vostra nona no la fa la poenta tuti i sabati?,Friuli-Venezia Giulia,Pordenone,Sacile
ma vostra nonna non ve la fa la polenta tutte le settimane,Friuli-Venezia Giulia,Pordenone,San Quirino
Ma la to none no te la fa la poenta tutte le setimane,Friuli-Venezia Giulia,Pordenone,San Vito al Tagliamento
Ma vostra nona non ve fa la polenta tute le settimane?,Friuli-Venezia Giulia,Trieste,Trieste
.,Friuli-Venezia Giulia,Trieste,Trieste
No,Friuli-Venezia Giulia,Trieste,Trieste
.,Friuli-Venezia Giulia,Trieste,Trieste
Ma vostra nona no ve fà la polenta ogni setimana?,Friuli-Venezia Giulia,Trieste,Trieste
Ma vostra nona no ve fa la polenta tutte le settimane?,Friuli-Venezia Giulia,Trieste,Trieste
Ma la vostra nona non ve la fa la polenta tute le setimane?,Friuli-Venezia Giulia,Trieste,Trieste
 --,Friuli-Venezia Giulia,Trieste,Trieste
Non so,Friuli-Venezia Giulia,Trieste,Trieste
Non lo so lol ,Friuli-Venezia Giulia,Trieste,Trieste
Ma,Friuli-Venezia Giulia,Trieste,Trieste
Ma vostra nona non ve fa a poenta tutte e settimane?,Friuli-Venezia Giulia,Trieste,Trieste
Ma vostra nona no la ve fa la polenta ogni setimana?,Friuli-Venezia Giulia,Trieste,Trieste
Ma vostra nona no ve fa la polenta tute e setimane?,Friuli-Venezia Giulia,Trieste,Trieste
vostra nonna non ve fa la polenta tutte le settimane?,Friuli-Venezia Giulia,Trieste,Trieste
ma vostra nonna non ve fa la polenta tutte le settimane,Friuli-Venezia Giulia,Trieste,Trieste
Ma tua nona no te fa la polenta ogni settimana? ,Friuli-Venezia Giulia,Trieste,Trieste
Ma vuestra nona no fâs us la polenta dutis lis stimanis?,Friuli-Venezia Giulia,Udine,Ampezzo
Ma vuestra nona no la fâs us la polenta dutis lis stimanis?,Friuli-Venezia Giulia,Udine,Ampezzo
Ma me nona no mi fas la polenta ogni setemana,Friuli-Venezia Giulia,Udine,Aquileia
Ma vuestre none no us fasie la polente dutes las setemanes?,Friuli-Venezia Giulia,Udine,Bordano
To none no ti fas le ponente ogni di,Friuli-Venezia Giulia,Udine,Campoformido
ma vuestre none no vi fâs le polente dutis lis setemanis,Friuli-Venezia Giulia,Udine,Campoformido
Ma la vuestre none a no vi fâs la polente dutes la setemanes?,Friuli-Venezia Giulia,Udine,Codroipo
Ma le vuestre none no us fas le polente dutis lis setemanis,Friuli-Venezia Giulia,Udine,Corno di Rosazzo
Ma to none no ti fasie la polente ogni setemane?,Friuli-Venezia Giulia,Udine,Flaibano
A ti nona nun ve fa la poenta tute le settimane?,Friuli-Venezia Giulia,Udine,Gemona del Friuli
Ma tô nône no vi fâs la polente dutis lis setemanis?,Friuli-Venezia Giulia,Udine,Gemona del Friuli
Ma la vo nona la fa la polenta ogni stemana?,Friuli-Venezia Giulia,Udine,Latisana
Ma le vostre nonne non ve la fa la pulente tutte le semaine?,Friuli-Venezia Giulia,Udine,Manzano
ma la vuestre none no vi fâs la polente dutis lis setemanis?,Friuli-Venezia Giulia,Udine,Mortegliano
Ma vustre none non vi fas là polente dutis le settimanis?,Friuli-Venezia Giulia,Udine,Muzzana del Turgnano
Ma vuestre none no vi fâs le polente dutis lis stemanis?,Friuli-Venezia Giulia,Udine,Pagnacco
Vuestri nona no vi prepara la polenta dutis li setemanis?,Friuli-Venezia Giulia,Udine,Pagnacco
Ma vuestre none no us fasie le polente ogni setemane?,Friuli-Venezia Giulia,Udine,Pagnacco
Ciò ma vostra nona no la ve fá la polenta tute le setimane?,Friuli-Venezia Giulia,Udine,Palmanova
Ma voste none a no us faas la polente ogni setemane?,Friuli-Venezia Giulia,Udine,Paularo
Ma le vuestre none no fas le polente dutis  lis setemanis?,Friuli-Venezia Giulia,Udine,Pavia di Udine
Ma vuestre none no vi fas la polente dutis lis setemanis?,Friuli-Venezia Giulia,Udine,Pocenia
Ma vuestre none no ûs fadie la polente dutis las setemanes?,Friuli-Venezia Giulia,Udine,Ragogna
Ma vuestre none no jus 'e la fasie la polente dutes les setemanes?,Friuli-Venezia Giulia,Udine,San Daniele del Friuli
Ma vostre none a non vi fa a polente tutte lis semanis,Friuli-Venezia Giulia,Udine,Tolmezzo
Vuestra nona no vi fa la polenta dutas la setemanas? ,Friuli-Venezia Giulia,Udine,Tolmezzo
Ma vueste none no us fas la polente dutes las semanes?,Friuli-Venezia Giulia,Udine,Tolmezzo
ma vuestre none no ti fas le polente dutis lis setemanis?,Friuli-Venezia Giulia,Udine,Torreano
Ma vostra nona vea faèa mia 'a poènta tute le setimane?,Friuli-Venezia Giulia,Udine,Udine
Ma to none no ti fâsie le polente dutis lis semanis?,Friuli-Venezia Giulia,Udine,Udine
Ma vuestre none a non vi fas le polente ogni setemane ?,Friuli-Venezia Giulia,Udine,Udine
ma vuestre none no vi fâse polente dutis Lis setimanis?,Friuli-Venezia Giulia,Udine,Udine
Vostre none al fas le polente ogni setimane?,Friuli-Venezia Giulia,Udine,Udine
ma vuestre none no ve fas la polente tudis le semanis?,Friuli-Venezia Giulia,Udine,Udine
Cc,Friuli-Venezia Giulia,Udine,Udine
Ma vuestre none no vi fâs la polente dutis lis setemanis?,Friuli-Venezia Giulia,Udine,Udine
Ma tua ava falla miga la pulenta tüti li setimani?,Grigioni,Bernina,Poschiavo
Ma la vosta ava la va fa miga la polenta tucc i setiman? ,Grigioni,Moesa,Cama
Ma la vosa nona va fa mia la polenta tüt i setiman?,Grigioni,Moesa,Roveredo (GR)
ma 'a vostra nonna nu ve a fa a pulenta tutt'e settemanne?,Liguria,Genova,Arenzano
Ma a nonna de vostri a nu Ve fa a Patùn a. tutte e settiman-ee,Liguria,Genova,Carasco
-,Liguria,Genova,Genova
Ma a vòstra madonnâ a no ve fâ a polenta tutte e settemañe?,Liguria,Genova,Genova
Ma a vòstra nonna nu va fâ a polenta tùtte e settemann-e?,Liguria,Genova,Genova
.,Liguria,Genova,Genova
boh,Liguria,Genova,Genova
Belin ma vòtra nònna (?) non la so tradurre ops,Liguria,Genova,Genova
.,Liguria,Genova,Genova
non lo so,Liguria,Genova,Genova
non lo so ,Liguria,Genova,Genova
Non lo so,Liguria,Genova,Genova
te nonna no ve fe a pulenta tutte e seimmane?,Liguria,Genova,Genova
me madonna te fa a polenta tute e semane,Liguria,Genova,Genova
belin tu nonna no cusina a polenta ca semana (non so scrivere in dialetto...),Liguria,Genova,Genova
giuro che non lo so ,Liguria,Genova,Genova
.,Liguria,Genova,Genova
Ma vòstra madonnâ a no ve â fa a pota tutte e settemañe?,Liguria,Genova,Genova
Ma vòstra madonnâ a no ve â fa a polenta tutte e settemañe?,Liguria,Genova,Genova
Ma vòstra madonâ a no ve a fa a polenta tutte e settemann-e?,Liguria,Genova,Genova
Ma a vostra Madonnava a no Ve fa a polenta tutte e settemañe,Liguria,Genova,Genova
Ma vòstra madonnâ a no ve â fa a polenta tutte e settemañe?,Liguria,Genova,Genova
Ma vòstra madonnâ a no ve â fa a pota tutte e settemañe?,Liguria,Genova,Genova
Ma a vostra mumma non ve a fa a pulenta tutte e settemanne?,Liguria,Genova,Leivi
Ma vostra nonna a v'en řa få řa puláinta tütte er xman-ne?,Liguria,Genova,Masone
Ma a vòstra mò a no v'â fa a pota tutte e settemañe?,Liguria,Genova,Santa Margherita Ligure
Non lo so,Liguria,Genova,Sestri Levante
Ma vostra nona non ve la fa mia la polenta tute le stimane? ,Liguria,Imperia,Bordighera
d,Liguria,Imperia,Bordighera
Ma veustra nonna nun v'a fà a pulenta tütte e semane?,Liguria,Imperia,Imperia
Orcu belin ma voestra gran maire nun ve fa a poenta tütte e seimane? ,Liguria,Imperia,Imperia
.,Liguria,Imperia,Imperia
ma a to madona no ti fa a polenta tutte e settimaine?,Liguria,Imperia,Sanremo
-,Liguria,Imperia,Ventimiglia
ma vostra nona la ne ve a coze a polente tute e setemane?,Liguria,La Spezia,La Spezia
To nonna nun te fa la polenta tutte le settimane?,Liguria,La Spezia,La Spezia
"Ma la vostra nona, lan ve la fa la pulenta tute le stimane?",Liguria,La Spezia,Sarzana
Ma a vòstra nònna non ve fâ a polènta tutte e semañe?,Liguria,Savona,Albissola Marina
Ma vòstra nòna on vla ra polenta tute 'r smane? ,Liguria,Savona,Cairo Montenotte
Ma vostra nonna no va a fa a puenta tutte e setimae,Liguria,Savona,Calice Ligure
Ma a to nonna a no ti fa a polenta tutte e settemañe?,Liguria,Savona,Celle Ligure
A voscia nonna a vea fa a pulenta tutte e mattin?,Liguria,Savona,Loano
Vostra Madona fa a polenta tutte settimanne,Liguria,Savona,Loano
Mä vostra nonna Nun ve fa a polenta tutt e semanne,Liguria,Savona,Savona
Non sono in grado LoL ,Liguria,Savona,Savona
La vostra nona non a fa la polenta  tutte vote?,Lombardia,Bergamo,Albino
ma la tò nöna te la fa mia la polenta töc i setimane? ,Lombardia,Bergamo,Albino
Ma la osta nona la ve fà mia la polenta töte'l setimane,Lombardia,Bergamo,Almenno San Bartolomeo
Ma la osta nona la fa la polenta tocie i semmane?,Lombardia,Bergamo,Alzano Lombardo
Ma os nona ghe la fa mia la polenta tote le settimane?,Lombardia,Bergamo,Alzano Lombardo
non lo so,Lombardia,Bergamo,Alzano Lombardo
Ma la vostra nona a ve la fa mia la polenta toce le setimame?,Lombardia,Bergamo,Bergamo
Ma la ostra nona ve la fa mia la polenta toce i settimane ,Lombardia,Bergamo,Bergamo
Me la tu nona la te fa mia la pulenta tote i semane?,Lombardia,Bergamo,Bergamo
Ma la osta nona ve la fa mia la pulenta tote i setimane?,Lombardia,Bergamo,Bergamo
Ma la óstra nòna à ve la fa mia la polenta töte i setimane?,Lombardia,Bergamo,Bergamo
Ma la osta nona la fa mea la pulenta tüte le setimàne? ,Lombardia,Bergamo,Bergamo
Ma la osta nona la fa mea la pulenta tüte le setimàne? ,Lombardia,Bergamo,Bergamo
Va fala mea polenta töce i setemane  osa nóna po? ,Lombardia,Bergamo,Bergamo
a ad,Lombardia,Bergamo,Bergamo
non lo so,Lombardia,Bergamo,Bergamo
la to nona la ta fa mia la polenta toce i settimane,Lombardia,Bergamo,Bergamo
ma vostra nona la fa mia la polenta tode le semane,Lombardia,Bergamo,Bergamo
La vostra nonna no l,Lombardia,Bergamo,Bergamo
Ma la ostra nona la fa mia so la polenta toc i semmane?,Lombardia,Bergamo,Bergamo
ma la ostra nona va fa mia la polenta tote le settimane,Lombardia,Bergamo,Bergamo
ma la to nona fa mia la pulenta toc i setimane(?),Lombardia,Bergamo,Bergamo
ma la tu non la fa tutte le settimane la polenta? ,Lombardia,Bergamo,Bergamo
La vóstra nóna ve fa' mìa la polènta töte i setimane?,Lombardia,Bergamo,Bergamo
Boh,Lombardia,Bergamo,Bergamo
Ma la tò non ve la fa mia la polenta tote i setimane,Lombardia,Bergamo,Bergamo
Ma vostra nonna non ve la fa la polenta tutte le settimane,Lombardia,Bergamo,Bergamo
Ma la östra máre ghè fá mia fá la pülenta töte í sëtimane?,Lombardia,Bergamo,Bonate Sotto
Ma la òsta nóna v'la fà mia la pulènta töte i setimane?,Lombardia,Bergamo,Bonate Sotto
Ma la osta nona la fa mia la polenta tote i setemane?,Lombardia,Bergamo,Calcio
Ma la 'osta nòna vá la fà mia la pulénta töte i setimane ?,Lombardia,Bergamo,Canonica d'Adda
Ma la ósta nóna va la fa mia la pulenta töte le setmana?,Lombardia,Bergamo,Carobbio degli Angeli
Ma la vosta nona la ve fa mìa la polenta tute i semane? ,Lombardia,Bergamo,Cenate Sopra
Ma la vostra nona la fa mia la polenta tote le semane,Lombardia,Bergamo,Clusone
"ma votra nona, ghe la fa mia la pulenta tocie le settimane?",Lombardia,Bergamo,Clusone
Ma la osta nona ve la fa mia la polenta toch i setimane?,Lombardia,Bergamo,Cologno al Serio
Ma vostra noná  non vi fa la polenta töt i settimane ?,Lombardia,Bergamo,Cologno al Serio
Ma la to nona n 'ta fa la pulento toche li setimane? ,Lombardia,Bergamo,Dalmine
Ma vostra nonna non ve la fa la polenta tutte le settimane ,Lombardia,Bergamo,Dalmine
ma la ostra nöna al la va fa mia la polenta tote i setimane ,Lombardia,Bergamo,Entratico
Vostra nona l'haa fa minga la pulenta tute le semane? ,Lombardia,Bergamo,Fontanella
Ma otra nona la fa la polenta toch i semane?,Lombardia,Bergamo,Gazzaniga
"La òsta nóna, ve la fa' mia la polènta töte le setimàne?",Lombardia,Bergamo,Mapello
Ma ósta nona va la fa mia la pulenta töte i setimane?,Lombardia,Bergamo,Mozzanica
Ma osta nona la va fa mia la polenta töte i setimane?,Lombardia,Bergamo,Mozzanica
Ma osta nona la va fa mia la polenta töte i setimane?,Lombardia,Bergamo,Mozzanica
la tu mama a la fà mia la polenta töch i settimane? ,Lombardia,Bergamo,Mozzo
Ma la ostra nona Ve la fa mia la polenta tote i setimane?,Lombardia,Bergamo,Osio Sopra
Ma la tò nona te la fà mìa la polènta töcc i semane?,Lombardia,Bergamo,Ponte San Pietro
La toa nona te fa su la polenta tote le settimane?,Lombardia,Bergamo,Ponte San Pietro
Ma vostra nuna non fa m'ia la polénta tuc'i setimane?,Lombardia,Bergamo,Pradalunga
non lo so,Lombardia,Bergamo,Romano di Lombardia
Ma la ósta nona ava fa mia la pulenta tött i setmane?,Lombardia,Bergamo,Schilpario
La vostra nòna la fà mìa la polenta töte le setìmàne?,Lombardia,Bergamo,Seriate
Ma la ostra nona la fa la polenta tote i settimane?,Lombardia,Bergamo,Sorisole
Ma ósta nóna la va fà la polenta töte le setèmane?,Lombardia,Bergamo,Treviglio
La voter nona va la fa mia la pulenta tote i setimane? ,Lombardia,Bergamo,Treviglio
Vostra nona a la fa mia la pulenta toch i settimane?,Lombardia,Bergamo,Valbrembo
Ma la nona la fa mia la polenta tote le setimane?,Lombardia,Bergamo,Villongo
Ma la osa nona la fa mia la polenta toche le setemane,Lombardia,Bergamo,Zogno
ma ostra nöna va fala mia la polenta töte le stimane?,Lombardia,Brescia,Alfianello
ma la to nona non te fa la polenta toch le setamane,Lombardia,Brescia,Artogne
ma la tö nona fa ghet mia pulenta ogni setemana?,Lombardia,Brescia,Berzo Demo
