CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,DE01_01,DE02,DE02_03,DE03,EM01,EM02,EM03,LA01,LA02_01,LA02_02,LA02_03,LA02_04,LA02_05,LA02_06,LA02_07,LA02_08,LA03,LA04,LA05,LA06,LA07_01,LA08_01,LG01,LG02,LG03,LG04,LG11,LG12,LG05,LG06,LG13,LG07,LG14,LG10,LG08_01,LG15_01,LO01,LO02,LO02s,LO03,LO04,LO05,LO09,LO06,LO07,LO07s,LO08,LO08_03,LO10,LO10s,LO11,LO11s,LU01,LU01_01,LU01_02,LU01_03,LU01_04,LU01_05,LU01_06,LU01_07,LU01_08,LU01_09,LU01_10,LU01_11,LU01_12,LU01_15,LU01_13,LU01_14,LU02,LU02_09,LU02_10,LU02_01,LU02_02,LU02_03,LU02_04,LU02_05,LU02_06,LU02_07,LU02_08,LU03,LU03_01,LU03_02,LU03_03,LU03_04,LU03_05,LU03_06,LU03_07,LU03_08,LU03_09,LU03_10,LU03_11,LU03_12,LU03_13,LU03_14,LU03_15,LU03_16,LU03_17,LU03_18,LU03_19,LU03_20,LU04,LU05,PL01,PL02,PL03,RW01,RW02,RW03,RW03_01,RW03_08,RW03_07,RW03_06,RW03_03,RW03_02,RW03_09,RW03_04,RW03_05,RW04,RW04_01,RW04_02,RW04_03,RW04_04,RW04_05,RW04_06,XT01_01,XT01_02,XT01_03,XT01_04,XT01_05,XT01_06,XT01_07,XT01_08,XT01_09,XT01_10,XT01_11,XT01_12,XT01_13,XT01_14,XT01_15,XT02,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
517,NA,NA,main-q,interview,2023-09-07T19:46:55Z,NA,NA,NA,NA,Studentessa/Studente,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sì,1022,NA,Per più di 10 anni,No,Sì,NA,No,2980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,23,43,10,7,NA,76,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,2023-09-07T19:49:58Z,FALSE,FALSE,8,8,0,0,0.69
518,NA,NA,main-q,interview,2023-09-07T19:47:03Z,NA,NA,NA,NA,Studentessa/Studente,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sì,4406,NA,Per più di 10 anni,No,NA,NA,Sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,27,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,2023-09-07T19:48:00Z,FALSE,FALSE,8,8,0,0,1.29
519,NA,NA,main-q,interview,2023-09-07T19:47:07Z,17,Donna,NA,Diploma di maturità/certificato professionale,Studentessa/Studente,NA,Scienze zootecniche e tecnologie animali (LM-86),Indifferente,4,4,6,4,4,7,4,5,Sì,Sì,NA,NA,NA,NA,Prevalentemente in dialetto,In italiano e in dialetto con la stessa frequenza,No,NA,NA,NA,In italiano e in dialetto in stessa misura,NA,"Sì, lo capisco molto bene",NA,"Sì, lo parlo bene",Lo parlo qualche volta,NA,Ma vostra nona non vea fa a poenta tute e settimane?,Sì,4049,NA,Per più di 10 anni,No,NA,NA,Sì,NA,NA,NA,NA,NA,NA,NA,NA,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,8,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Alcune volte,Spesso,Poco offensiva,Molto,Abbastanza,Sì,No,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,5,1,5,1,5,1,5,3,1,1,5,5,3,1,"Sì, voglio rispondere all'ulteriore quesito",50,7,33,4,NA,NA,NA,5,89,31,6,16,139,32,114,NA,NA,35,81,157,799,NA,2023-09-07T20:00:26Z,TRUE,FALSE,20,20,2,1,0.91
521,NA,NA,main-q,interview,2023-09-07T19:47:26Z,19,Uomo,NA,Diploma di maturità/certificato professionale,Studentessa/Studente,NA,Ingegneria dell’informazione (L-8),Positiva,3,3,7,7,3,7,4,3,Sì,Sì,NA,NA,NA,NA,In italiano e in dialetto con la stessa frequenza,Prevalentemente in italiano,No,NA,NA,NA,Prevalentemente in italiano,NA,"Sì, lo capisco bene",NA,Così così,Lo parlo qualche volta,NA,Vostra nona no ve fa a poenta tute le setimane,Sì,4156,NA,Per più di 10 anni,No,NA,NA,Sì,NA,NA,NA,NA,NA,NA,NA,NA,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Alcune volte,50/50,Per nulla offensiva,Del tutto,Del tutto,No,No,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,5,1,5,1,5,1,3,1,1,1,5,3,1,1,"Sì, voglio rispondere all'ulteriore quesito",9,7,14,4,NA,NA,NA,3,12,24,5,15,970,24,39,NA,NA,13,29,88,423,NA,2023-09-07T20:08:22Z,TRUE,FALSE,20,20,2,1,1.55
522,NA,NA,main-q,interview,2023-09-07T19:47:33Z,NA,NA,NA,NA,Disoccupata/Disoccupato,Istruzione,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In italiano e in dialetto con la stessa frequenza,Prevalentemente in italiano,No,NA,NA,NA,Prevalentemente in italiano,NA,"Sì, lo capisco bene",NA,"Sì, lo parlo bene",NA,Inglese,NA,Sì,4341,NA,Per più di 10 anni,No,NA,NA,Sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcune volte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,5,18,4,NA,NA,NA,12,11,27,7,24,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,2023-09-07T19:50:45Z,FALSE,FALSE,12,12,0,0,1.21
523,NA,NA,main-q,interview,2023-09-07T19:48:01Z,14,Uomo,NA,Licenza di scuola media,Studentessa/Studente,NA,Scienze e tecnologie alimentari (LM-70),Positiva,4,4,7,4,4,7,4,3,Sì,Sì,NA,NA,NA,NA,Prevalentemente in dialetto,In italiano e in dialetto con la stessa frequenza,No,NA,NA,NA,In italiano e in dialetto in stessa misura,NA,"Sì, lo capisco molto bene",NA,"Sì, lo parlo molto bene",Lo parlo spesso,NA,Ma vostra nona non c'è da mia la polenta tute e stimane?,Sì,2537,NA,Per più di 10 anni,No,NA,NA,Sì,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Alcune volte,Molto spesso,Neutra,NA,NA,Sì,Sì,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,11,32,5,NA,NA,NA,6,31,22,7,15,93,41,53,NA,NA,23,NA,NA,355,NA,2023-09-07T19:53:56Z,FALSE,FALSE,18,18,3,1,1.06
524,NA,NA,main-q,interview,2023-09-07T19:48:55Z,18,Uomo,NA,Licenza di scuola media,Studentessa/Studente,NA,[NA] Not answered,Positiva,4,4,7,4,4,6,4,4,Sì,Sì,NA,NA,NA,NA,In italiano e in dialetto con la stessa frequenza,In italiano e in dialetto con la stessa frequenza,No,NA,NA,NA,In italiano e in dialetto in stessa misura,NA,"Sì, lo capisco bene",NA,"Sì, lo parlo bene",Lo parlo spesso,"Tedesco, Inglese Spagnolo",Ma vostra nóna no ghe fa mía ła połenta tute łe semáne?,Sì,4406,NA,Per più di 10 anni,No,NA,NA,Sì,NA,NA,NA,NA,NA,NA,NA,NA,8,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,15,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,50/50,Molto spesso,Per nulla offensiva,Del tutto,Molto,Sì,No,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,5,1,3,1,5,1,5,1,2,1,5,5,2,1,"Sì, voglio rispondere all'ulteriore quesito",29,7,20,5,NA,NA,NA,6,28,23,7,38,126,32,60,NA,NA,14,100,81,576,NA,2023-09-07T19:58:32Z,TRUE,FALSE,20,20,2,1,1.04
525,NA,NA,main-q,interview,2023-09-07T19:49:04Z,59,Donna,NA,Diploma di maturità/certificato professionale,Pensionata/Pensionato,Servizi alle famiglie e assistenza sociale,NA,Indifferente,4,4,4,4,4,4,4,2,Sì,Indifferente,NA,NA,NA,NA,Prevalentemente in dialetto,Prevalentemente in dialetto,Sì,Prevalentemente in italiano,Non ho figli minorenni,Prevalentemente in italiano,NA,"Sì, lo capisco molto bene","Sì, lo capisco molto bene","Sì, lo parlo molto bene","Sì, lo parlo molto bene",Lo parlo spesso,"Francese, emiliano ",Ma ea vostra nona no ve fa ea poenta,Sì,1605,NA,Per più di 10 anni,Sì,Sì,NA,No,4406,NA,NA,NA,NA,NA,NA,NA,7,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Alcune volte,Alcune volte,Poco offensiva,Molto,Abbastanza,Sì,No,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,1,1,1,5,1,4,2,1,1,1,5,1,1,"Sì, voglio rispondere all'ulteriore quesito",10,9,27,4,6,NA,12,13,54,25,19,40,107,29,75,NA,NA,22,206,108,766,NA,2023-09-07T20:01:50Z,TRUE,FALSE,20,20,0,0,0.89
526,NA,NA,main-q,interview,2023-09-07T19:49:13Z,24,Donna,NA,Laurea triennale,Studentessa/Studente,NA,Scienze e tecnologie alimentari (LM-70),Indifferente,4,4,4,4,4,4,4,5,Sì,Indifferente,NA,NA,NA,NA,In italiano e in dialetto con la stessa frequenza,In italiano e in dialetto con la stessa frequenza,No,NA,NA,NA,In italiano e in dialetto in stessa misura,NA,"Sì, lo capisco molto bene",NA,"Sì, lo parlo molto bene",Lo parlo spesso,Inglese e francese,Ma to nona non te fala mia a polenta tute le stimane?,Sì,4370,NA,Per più di 10 anni,Sì,NA,NA,Sì,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,50/50,Spesso,Neutra,Del tutto,Molto,Sì,No,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,5,1,5,1,1,1,1,1,5,5,1,1,"Sì, voglio rispondere all'ulteriore quesito",1479,7,39,6,NA,NA,NA,5,60,32,17,36,186,47,78,NA,NA,22,134,173,859,NA,2023-09-07T20:27:54Z,TRUE,FALSE,20,20,0,0,0.71
528,NA,NA,main-q,interview,2023-09-07T19:49:59Z,22,Donna,NA,Diploma di maturità/certificato professionale,Lavoratrice/Lavoratore,"Altre attività professionali, scientifiche e tecniche",NA,Indifferente,5,3,5,4,4,5,4,1,No,Sì,NA,NA,NA,NA,In italiano e in dialetto con la stessa frequenza,Prevalentemente in italiano,No,NA,NA,NA,Prevalentemente in italiano,NA,"Sì, lo capisco bene",NA,"Sì, lo parlo bene",Lo parlo qualche volta,NA,Ma vostra nona no ve fa a poenta tute e settimane? ,Sì,4341,NA,Per più di 10 anni,No,NA,NA,Sì,NA,NA,NA,NA,NA,NA,NA,NA,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Spesso,Spesso,Poco offensiva,NA,NA,Sì,No,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,16,4,NA,NA,NA,4,21,16,7,7,85,21,118,NA,NA,29,NA,NA,339,NA,2023-09-07T19:55:38Z,FALSE,FALSE,18,18,3,1,1.55
530,NA,NA,main-q,interview,2023-09-07T19:51:07Z,NA,NA,NA,NA,Studentessa/Studente,NA,Ingegneria industriale (L-9),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prevalentemente in italiano,Prevalentemente in italiano,No,NA,NA,NA,Prevalentemente in italiano,NA,"Sì, lo capisco bene",NA,Così così,Lo parlo raramente,NA,ma to nona no Ve fa a poenta tutte e settimane,Sì,1549,NA,Per più di 10 anni,Sì,NA,NA,Sì,NA,NA,NA,NA,NA,NA,NA,NA,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Molto spesso,Alcune volte,NA,NA,NA,Sì,No,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,9,22,6,NA,NA,NA,4,27,20,7,18,80,31,NA,NA,NA,NA,NA,NA,237,NA,2023-09-07T19:55:04Z,FALSE,FALSE,14,14,4,2,1.21
534,NA,NA,main-q,interview,2023-09-07T19:51:42Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sì,-9,NA,Per più di 10 anni,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,2023-09-07T19:52:30Z,FALSE,FALSE,3,3,25,25,1.56
535,NA,NA,main-q,interview,2023-09-07T19:52:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,2023-09-07T19:52:32Z,FALSE,FALSE,2,2,0,0,1.04
536,NA,NA,main-q,interview,2023-09-07T19:52:09Z,23,Uomo,NA,Laurea triennale,Studentessa/Studente,NA,Scienze e tecnologie informatiche (L-31),Positiva,3,3,6,5,4,5,4,4,Sì,Indifferente,NA,NA,NA,NA,Prevalentemente in italiano,Prevalentemente in italiano,No,NA,NA,NA,In italiano e in dialetto in stessa misura,NA,"Sì, lo capisco molto bene",NA,"Sì, lo parlo molto bene",Lo parlo spesso,NA,Ma vostra nona no ve fa a poenta tutte e setimane?,Sì,2829,NA,Per più di 10 anni,No,NA,NA,Sì,NA,NA,NA,NA,NA,NA,NA,NA,7,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,7,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,9,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,50/50,Spesso,Abbastanza offensiva,Abbastanza,Per nulla,Sì,No,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No, voglio terminare il questionario ora",43,9,30,5,NA,NA,NA,4,15,19,11,14,109,36,79,NA,NA,13,80,NA,467,NA,2023-09-07T19:59:56Z,TRUE,FALSE,19,19,2,1,1.12
537,NA,NA,main-q,interview,2023-09-07T19:52:12Z,55,Donna,NA,Diploma di maturità/certificato professionale,Lavoratrice/Lavoratore,"Attività artistiche, di intrattenimento e divertimento",NA,Positiva,4,4,5,5,3,5,4,4,Sì,Sì,NA,NA,NA,NA,In italiano e in dialetto con la stessa frequenza,Prevalentemente in italiano,Sì,Né in italiano né in dialetto,Non ho figli minorenni,Né in italiano né in dialetto,NA,"Sì, lo capisco molto bene",NA,"Sì, lo parlo molto bene",NA,Lo parlo spesso,Tedesco,Ma vostra nona no la ve fa la poenta tute e setimane?,Sì,1360,NA,Per più di 10 anni,Sì,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Alcune volte,Alcune volte,Per nulla offensiva,Per nulla,Del tutto,Sì,Sì,3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,1,5,4,4,1,5,2,1,1,5,4,1,1,"Sì, voglio rispondere all'ulteriore quesito",7,10,39,6,13,NA,NA,10,69,32,39,25,250,88,85,NA,NA,26,135,165,991,NA,2023-09-07T20:08:51Z,TRUE,FALSE,20,20,0,0,0.74
538,NA,NA,main-q,interview,2023-09-07T19:52:31Z,23,Donna,NA,Laurea triennale,Studentessa/Studente,NA,Scienze dell’economia e della gestione aziendale (L-18),Positiva,4,4,7,5,1,6,3,3,Sì,Sì,NA,NA,NA,NA,Prevalentemente in dialetto,Prevalentemente in italiano,No,NA,NA,NA,Prevalentemente in italiano,NA,"Sì, lo capisco molto bene",NA,"Sì, lo parlo molto bene",Non lo parlo mai,NA,Vostra nona no ve fa a poenta tute e setimane?,Sì,810,NA,Per più di 10 anni,No,NA,NA,Sì,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Molto spesso,Alcune volte,Poco offensiva,NA,NA,Sì,No,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,9,25,8,NA,NA,NA,8,18,40,7,13,132,50,137,NA,NA,21,NA,NA,494,NA,2023-09-07T20:00:45Z,FALSE,FALSE,18,18,3,1,0.95
540,NA,NA,main-q,interview,2023-09-07T19:52:57Z,31,Uomo,NA,Diploma di maturità/certificato professionale,Lavoratrice/Lavoratore,Attività amministrative e di servizi di supporto,NA,Indifferente,5,4,5,4,5,5,4,6,Indifferente,Indifferente,NA,NA,NA,NA,In italiano e in dialetto con la stessa frequenza,Prevalentemente in italiano,No,NA,NA,NA,Prevalentemente in italiano,NA,"Sì, lo capisco bene",NA,Così così,Lo parlo qualche volta,NA,Ma vostra nona non ve fa ea poenta tutte le settimane?,Sì,2113,NA,Per più di 10 anni,No,NA,NA,Sì,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50/50,50/50,Neutra,Molto,Molto,No,Sì,5,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,4,3,5,4,5,4,3,4,1,2,5,-9,2,2,"Sì, voglio rispondere all'ulteriore quesito",10,8,28,14,NA,NA,NA,5,21,25,13,20,137,74,48,NA,NA,17,114,151,685,NA,2023-09-07T20:04:22Z,TRUE,FALSE,20,20,3,3,0.97
